,N a m a   d a l a m   b a h a s a   I n d o n e s i a,N a m a   d a l a m   b a h a s a   r e s m i,K e t e r a n g a n
30,Britania Raya – Perserikatan Kerajaan Britania Raya dan Irlandia Utara,Inggris: United Kingdom – United Kingdom of Great Britain and Northern Ireland,"Britania Raya memiliki 13 wilayah seberang laut, 3 dependensi mahkota, dan 1 area pangkalan kuasa; meliputi: Wilayah seberang laut  Anguilla Inggris: Anguilla  Bermuda Inggris: Bermuda  Kepulauan Cayman Inggris: Cayman Islands  Kepulauan Falkland Inggris: Falkland Islands  Gibraltar Inggris: Gibraltar  Montserrat Inggris: Montserrat  Kepulauan Pitcairn – Kelompok Kepulauan Pitcairn Inggris: Pitcairn Islands – Pitcairn Group of Islands  Saint Helena, Ascension, dan Tristan da Cunha Inggris: Saint Helena, Ascension and Tristan da Cunha  Kepulauan Turks dan Caicos Inggris: Turks and Caicos Islands  Kepulauan Virgin Britania Raya – Kepulauan Virgin Inggris: Virgin Islands Tidak memiliki penghuni tetap:  Georgia Selatan dan Kepulauan Sandwich Selatan  Teritori Samudra Hindia Britania Area Pangkalan Kuasa  Akrotiri dan Dhekelia Dependensi Mahkota  Guernsey – Bailiwick Guernsey Inggris: Guernsey – Bailiwick of Guernsey Prancis: Guernesey – Bailliage de Guernesey  Jersey – Bailiwick Jersey Inggris: Jersey – Bailiwick of Jersey Prancis: Jersey – Bailliage de Jersey Jèrriais: Jèrri – Bailliage dé Jèrri  Pulau Man Inggris: Isle of Man Manx: Ellan Vannin"
31,Brunei – Negara Brunei Darussalam,Melayu: Brunei – Negara Brunei Darussalam Jawi: نڬارا بروني دارالسلام – بروني Inggris: Brunei – Brunei Darussalam,
32,Bulgaria – Republik Bulgaria,Bulgaria: България Inggris: Bulgaria – Republic of Bulgaria,
33,Burkina Faso,Prancis: Burkina Faso Inggris: Burkina Faso,
34,Burundi – Republik Burundi,Kirundi: Uburundi – Republika y'Uburundi Prancis: Burundi – République du Burundi Inggris: Republic of Burundi,
35,C,C,C
36,Ceko – Republik Ceko[8],Ceko: Česko – Česká republika Inggris: Czech Republic,
37,Chad – Republik Chad,Prancis: Tchad – République du Tchad Arab: جمهوريّة تشاد – تشاد → Tshād – Jumhūrīyat Tshād Inggris: Chad – Republic of Chad,
38,Chili – Republik Chili,Spanyol: Chile – República de Chile Inggris: Chile – Republic of Chile,
39,D,D,D
40,Denmark – Kerajaan Denmark,Denmark: Danmark – Kongeriget Danmark Inggris: Kingdom of Denmark,"Kerajaan Denmark memiliki dua wilayah berpemerintahan sendiri, yaitu:  Kepulauan Faroe Faroe: Føroyar Denmark: Færøerne  Greenland Kalaallisut: Kalaallit Nunaat"
41,Dominika – Persemakmuran Dominika,Inggris: Dominica – Commonwealth of Dominica,
42,Dominika – Republik Dominika,Spanyol: República Dominicana Inggris: Dominican Republic,
43,E,E,E
44,Ekuador – Republik Ekuador,Spanyol: Ecuador – República del Ecuador Inggris: Ecuador – Republic of Ecuador,
45,El Salvador – Republik El Salvador,Spanyol: El Salvador – República de El Salvador Inggris: El Salvador – Republic of El Salvador,
46,Eritrea – Negara Eritrea,Tigrinya: ኤርትራ – ሃግሬ ኤርትራ → Ertra – Hagere Ertra Arab: دولة إرتريا – إريتريا → Irītrīyā – Dawlat Irītrīyā Inggris: Eritrea – State of Eritrea,
47,Estonia – Republik Estonia,Estonia: Eesti – Eesti Vabariik Inggris: Estonia – Republic of Estonia,
48,Eswatini – Kerajaan Eswatini,Swati: eSwatini – Umbuso weSwatini Inggris: Swaziland – Kingdom of Swaziland,
49,Etiopia – Republik Demokratis Federal Etiopia,Amhar: ኢትዮጵያ – የኢትዮጵያ ፈደራላዊ ዲሞክራሲያዊ ሪፐብሊክ → ʾĪtyōṗṗyā – ye-Ītyōṗṗyā Fēdēralāwī Dīmōkrāsīyāwī Rīpeblīk Inggris: Ethiopia – Federal Democratic of Ethiopia,
50,F,F,F
51,Fiji – Republik Fiji,Fiji: Viti – Matanitu Tugalala o Viti Inggris: Fiji – Republic of Fiji,
52,Filipina – Republik Filipina,Tagalog: Pilipinas - Repúblika ng Pilipinas Inggris: Philippines – Republic of the Philippines,
53,Finlandia – Republik Finlandia,Finlandia: Suomi – Suomen tasavalta Swedia: Finland – Republiken Finland Inggris: Finland – Republic of Finland,
54,G,G,G
55,Gabon – Republik Gabon,Prancis: Gabon – République gabonaise Inggris: Gabon – Gabonese Republic,
56,Gambia – Republik Gambia,Inggris: The Gambia – Republic of The Gambia,
57,Georgia[9],Georgia: საქართველო → Sakartvelo Inggris: Georgia,
58,Ghana – Republik Ghana,Inggris: Ghana – Republic of Ghana,
59,Grenada,Inggris: Grenada,
60,Guatemala – Republik Guatemala,Spanyol: Guatemala – República de Guatemala Inggris: Guatemala – Republic of Guatemala,
61,Guinea – Republik Guinea,Prancis: Guinée – République de Guinée Inggris: Guinea – Republic of Guinea,
62,Guinea Khatulistiwa – Republik Guinea Khatulistiwa,Spanyol: Guinea Ecuatorial – República de Guinea Ecuatorial Prancis: Guinée Équatoriale – République de Guinée Équatoriale Portugis: Guiné Equatorial – República da Guiné Equatorial Inggris: Equatorial Guinea – Republic of Equatorial Guinea,
63,Guinea-Bissau – Republik Guinea-Bissau,Portugis: Guiné-Bissau – República da Guiné-Bissau Inggris: Guinea-Bissau – Republic of Guinea-Bissau,
64,Guyana – Republik Kooperatif Guyana,Inggris: Guyana – Co-operative Republic of Guyana,
65,H,H,H
66,Haiti – Republik Haiti,Prancis: Haïti – République d'Haïti Kreol Haiti: Ayiti – Repiblik d’Ayiti Inggris: Haiti – Republic of Haiti,
67,Honduras – Republik Honduras,Spanyol: Honduras – República de Honduras Inggris: Republic of Honduras,
68,Hongaria,Hongaria: Magyarország Inggris: Hungary,
69,I,I,I
70,India – Republik India,Hindi: भारत – भारत गणराज्य → Bhārat – Bhārat Ganarājya Inggris: India – Republic of India,
71,Indonesia – Republik Indonesia,Indonesia: Indonesia - Republik Indonesia,
72,Irak – Republik Irak,Arab: جمهورية العراق – العراق → Al ʿIrāq – Jumhūrīyat al ʿIrāq Kurdi: كۆماری عێراق – عێراق → Êraq – Komar-i ‘Êraq Inggris: Iraq – Republic of Iraq,
73,Iran – Republik Islam Iran,Persia: جمهوری اسلامی ایران – ایران → Īrān – Jomhūrī-ye Eslāmī-ye Īrān Inggris : Iran – Islamic Republic of Iran – Persia,
74,Irlandia – Republik Irlandia[10],Irlandia: Éire - Poblacht na hÉireann Inggris: Ireland - Republic of Ireland,
75,Islandia – Republik Islandia,Islandia: Ísland - Lýðveldið Ísland,
76,Israel – Negara Israel,Ibrani: מדינת ישראל – ישראל → Yisra'el – Medīnat Yisrā'el Arab: دولة إسرائيل – إسرائيل → Isrā'īl – Dawlat Isrā'īl Inggris: Israel – State of Israel,
77,Italia – Republik Italia,Italia: Italia – Repubblica Italiana Inggris: Italy – Italian Republic – Republic of Italy,
78,J,J,J
79,Jamaika,Inggris: Jamaica,
80,Jepang,Jepang: 日本 – 日本国 → Nihon/Nippon – Nihon-koku/Nippon-koku Inggris: Japan,
81,Jerman – Republik Federal Jerman,Jerman: Deutschland – Bundesrepublik Deutschland Inggris: Germany – Federal Republic of Germany,
82,Jibuti – Republik Jibuti,Prancis: Djibouti – République de Djibouti Arab: جمهورية جيبوتي – جيبوتي → Jībūtī – Jumhūrīyat Jībūtī Inggris: Djibouti – Republic of Djibouti,
83,K,K,K
84,Kamboja – Kerajaan Kamboja,Khmer: កម្ពុជា – ព្រះរាជាណាចក្រកម្ពុជា → Kâmpŭchéa – Preăh Réachéanachâk Kâmpŭchéa Inggris: Cambodia – Kampuchea – Kingdom of Cambodia,
85,Kamerun – Republik Kamerun,Prancis: Cameroun – République du Cameroun Inggris: Cameroon – Republic of Cameroon,
86,Kanada,Inggris dan Prancis: Canada,
87,Kazakhstan – Republik Kazakhstan,Kazakh: Қазақстан – Қазақстан Республикасы → Qazaqstan – Qazaqstan Respūblīkasy Rusia: Казахстан – Республика Казахстан → Kazahstan – Respublika Kazahstan Inggris: Kazakhstan – Republic of Kazakhstan,
88,Kenya – Republik Kenya,Inggris: Kenya – Republic of Kenya Swahili: Kenya – Jamhuri ya Kenya,
89,Kirgizstan – Republik Kirgiz,Kirgiz: Кыргызстан – Кыргыз Республикасы → Kyrgyzstan – Kyrgyz Respublikasy Rusia: Кыргызстан – Кыргызская Республика → Kyrgyzstan – Kyrgyzskaya Respublika Inggris: Kyrgyzstan – Kyrgyzstan Republic,
90,Kiribati – Republik Kiribati,Gilbert: Kiribati – Ribaberiki Kiribati Inggris: Kiribati – Republic of Kiribati,
91,Kolombia – Republik Kolombia,Spanyol: Colombia – República de Colombia Inggris: Colombia – Republic of Colombia,
92,Komoro – Perserikatan Komoro,Prancis: Comores – Union des Comores Komoro: Komori – Udzima wa Komori Arab: اتحاد جزر القمر – جزر القمر → Juzur al Qumur/Qamar – Al Ittiḥād al Qumurī/Qamarī Inggris: Comoros – Union of the Comoros,
93,Kongo – Republik Demokratik Kongo[11],Prancis: Congo – République démocratique du Congo Inggris: Congo – Democratic Republic of the Congo,
94,Kongo – Republik Kongo[12],Prancis: Congo – République du Congo Inggris: Congo – Republic of the Congo,
95,Korea Selatan – Republik Korea[13],Korea: 한국 – 대한민국 → Hanguk – Daehan Minguk Hanja: 大韓民國 Inggris: South Korea – Republic of Korea (ROK),
96,Korea Utara – Republik Demokratis Rakyat Korea[14],Korea: 조선 – 조선민주주의인민공화국 → Chosŏn – Chosŏn-minjujuŭi-inmin-konghwaguk Inggris: North Korea – Democratic People's Republic of Korea (DPRK),
97,Kosta Rika – Republik Kosta Rika,Spanyol: Costa Rica – República de Costa Rica Inggris: Costa Rica – Republic of Costa Rica,
98,Kroasia – Republik Kroasia,Kroasia: Hrvatska – Republika Hrvatska Inggris: Croatia – Republic of Croatia,
99,Kuba – Republik Kuba,Spanyol: Cuba – República de Cuba Inggris: Cuba – Republic of Cuba,
100,Kuwait – Negara Kuwait,Arab: دولة الكويت – الكويت → Al Kuwait – Dawlat al Kuwait Inggris: Kuwait – State of Kuwait,
101,L,L,L
102,Laos – Republik Demokratis Rakyat Laos,Lao: ປະເທດລາວ – ສາທາລະນະລັດປະຊາທິປະໄຕປະຊາຊົນລາວ → Pathet Lao – Sathalanalat Paxathipatai Paxaxôn Lao Inggris: Laos – Lao People's Democratic Republic,
103,Latvia – Republik Latvia,Latvia: Latvija – Latvijas Republika Inggris: Latvia – Republic of Latvia,
104,Lebanon – Republik Lebanon,Arab: الجمهوريّة اللبنانيّة – لبنان → Lubnān – Al-Jumhūrīyah al-Lubnānīyah Inggris: Lebanon - Republic of Lebanon – Lebanese Republic,
105,Lesotho – Kerajaan Lesotho,Sotho: Lesotho – 'Muso oa Lesotho Inggris: Lesotho – Kingdom of Lesotho,
106,Liberia – Republik Liberia,Inggris: Liberia – Republic of Liberia,
107,Libya – Negara Libya,Arab: دولة ليبيا → Dawlat Lībyā Inggris: Libya – State of Libya,
108,Liechtenstein – Kepangeranan Liechtenstein,Jerman: Liechtenstein – Fürstentum Liechtenstein Inggris: Liechtenstein – Principality of Liechtenstein,
109,Lituania – Republik Lituania,Lituania: Lietuva – Lietuvos Respublika Inggris: Lithuania – Republic of Lithuania,
110,Luksemburg – Keharyapatihan Luksemburg,Luksemburg: Lëtzebuerg – Groussherzogtum Lëtzebuerg Prancis: Luxembourg – Grand-Duché de Luxembourg Jerman: Luxemburg – Großherzogtum Luxemburg Inggris: Luxembourg – Grand Duchy of Luxembourg,
111,M,M,M
112,Madagaskar – Republik Madagaskar,Malagasi: Madagasikara – Repoblikan'i Madagasikara Prancis: Madagascar – République de Madagascar Inggris: Republic of Madagaskar,
113,Makedonia Utara – Republik Makedonia Utara,Makedonia: Северна Македонија – Република Северна Македонија → Severna Makedonija – Republika Severna Makedonija Inggris: North Macedonia – Republic of North Macedonia,
114,Maladewa – Republik Maladewa,Divehi: ދިވެހިރާއްޖޭގެ ޖުމްހޫރިއްޔާ – ދިވެހިރާއްޖެ → Dhivehi Raajje – Dhivehi Raajjeyge Jumhooriyyaa Inggris: Maldives – Republic of Maldives,
115,Malawi – Republik Malawi,Inggris: Malawi – Republic of Malawi Chichewa: Malaŵi – Dziko la Malaŵi,
116,Malaysia,Melayu: Malaysia Inggris: Malaysia,
117,Mali – Republik Mali,Prancis: Mali – République du Mali Inggris: Mali Republic of Mali,
118,Malta – Republik Malta,Malta: Malta – Repubblika ta' Malta Inggris: Malta – Republic of Malta,
119,Maroko – Kerajaan Maroko[15],Arab: المملكة المغربية – المغرب → Al Maghrib – Al Mamlakah al Maghribīyah Berber: ⵍⵎⴰⵖⵔⵉⴱ Inggris: Morocco – Kingdom of Morocco,
120,Marshall – Republik Kepulauan Marshall,Marshall: Aorōkin M̧ajeļ – Aolepān Aorōkin M̧ajeļ Inggris: Marshall Islands – Republic of the Marshall Islands,
121,Mauritania – Republik Islam Mauritania,Arab: الجمهورية الإسلامية الموريتانية – موريتانيا → Mūrītāniyā – Al Jumhūrīyah al Islāmīyah al Mūrītānīyah Inggris: Mauritania – Islamic Republic of Mauritania,
122,Mauritius – Republik Mauritius,Inggris: Mauritius – Republic of Mauritius Prancis: Île Maurice – République de Maurice Inggris: Mauritius – Republic of Mauritius,
123,Meksiko – Negara Meksiko Serikat,Spanyol: México – Estados Unidos Mexicanos Inggris: Mexico – United Mexican States,
124,Mesir – Republik Arab Mesir,Arab: جمهورية مصر العربية – مصر → Mişr – Jumhūrīyat Mişr al ‘Arabīyah Inggris: Egypt – Arab Republic of Egypt,
125,Mikronesia – Negara Federasi Mikronesia,Inggris: Micronesia – Federated States of Micronesia,
126,Moldova – Republik Moldova[16],Rumania: Moldova – Republica Moldova Inggris: Moldova – Republic of Moldova,
127,Monako – Kepangeranan Monako,Prancis: Monaco – Principauté de Monaco Inggris: Monaco – Principality of Monaco,
128,Mongolia,"Mongol: Монгол улс, .mw-parser-output .font-mong{font-family:""Menk Hawang Tig"",""Menk Qagan Tig"",""Menk Garqag Tig"",""Menk Har_a Tig"",""Menk Scnin Tig"",""Oyun Gurban Ulus Tig"",""Oyun Qagan Tig"",""Oyun Garqag Tig"",""Oyun Har_a Tig"",""Oyun Scnin Tig"",""Oyun Agula Tig"",""Mongolian Baiti"",""Noto Sans Mongolian"",""Mongolian Universal White"",""Mongol Usug"",""Mongolian White"",""MongolianScript"",""Code2000"",""Menksoft Qagan""}.mw-parser-output .font-mong-mnc,.mw-parser-output .font-mong:lang(mnc-Mong),.mw-parser-output .font-mong:lang(dta-Mong),.mw-parser-output .font-mong:lang(sjo-Mong){font-family:""Abkai Xanyan"",""Abkai Xanyan LA"",""Abkai Xanyan VT"",""Abkai Xanyan XX"",""Abkai Xanyan SC"",""Abkai Buleku"",""Daicing White"",""Mongolian Baiti"",""Noto Sans Mongolian"",""Mongolian Universal White""}ᠮᠣᠩᠭ᠋ᠣᠯᠤᠯᠤᠰ → Mongol uls, Monggol ulus Inggris: Mongolia",
129,Montenegro,Montenegro: Crna Gora / Црна Гора Inggris: Montenegro,
130,Mozambik – Republik Mozambik,Portugis: Moçambique – República de Moçambique Inggris: Mozambique – Republic of Mozambique,
131,Myanmar – Republik Persatuan Myanmar,Myanmar: မြန်မာပြည် – ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌ → Myanma – Pyidaunzu Thanmăda Myăma Nainngandaw Inggris: Myanmar – Republic of the Union of Myanmar,
132,N,N,N
133,Namibia – Republik Namibia,Inggris: Namibia – Republic of Namibia,
134,Nauru – Republik Nauru,Nauru: Naoero – Repubrikin Naoero Inggris: Nauru – Republic of Nauru,
135,Nepal – Republik Federal Demokratis Nepal,Nepali: नेपाल – संघिय लोकतन्त्रिक गणतन्त्र नेपाल → Nepāl – Saṁghīya Loktāntrik Gaṇatantra Nepāl,
136,Niger – Republik Niger,Prancis: Niger – République du Niger,
137,Nigeria – Republik Federal Nigeria,Inggris: Nigeria – Federal Republic of Nigeria,
138,Nikaragua – Republik Nikaragua,Spanyol: Nicaragua – República de Nicaragua,
139,Norwegia – Kerajaan Norwegia,"Norwegia: Norge/Noreg – Kongeriket Norge (Bokmål), Kongeriket Noreg (Nynorsk)","Norwegia memiliki tiga daerah dependensi, yaitu Pulau Bouvet Pulau Peter I Daratan Ratu Maud Semuanya tidak memiliki penghuni tetap. Sebaliknya, meski tergabung dalam Kerajaan Norwegia, Svalbard adalah wilayah lepas yang memiliki yurisdiksi khusus berdasarkan Perjanjian Svalbard.  Svalbard Norwegia: Svalbard"
140,O,O,O
141,Oman – Kesultanan Oman,Arab: سلطنة عُمان – عُمان → ʿUmān – Salţanat ʿUmān,
142,P,P,P
143,Pakistan – Republik Islam Pakistan,Urdu: اسلامی جمہوریۂ پاکستان – پاكستان → Pākistān – Islāmī Jumhūriyah-yi Pākistān Inggris: Pakistan – Islamic Republic of Pakistan,
144,Palau – Republik Palau,Palau: Belau – Beluu er a Belau Inggris: Palau – Republic of Palau,
145,Palestina – Negara Palestina[17],Arab: دولة فلسطين – فلسطين → Filasṭin – Dawlat Filasṭin,
146,Panama – Republik Panama,Spanyol: Panamá – República de Panamá,
147,Pantai Gading – Republik Pantai Gading,Prancis: Côte d'Ivoire – République de Côte d'Ivoire,
148,Papua Nugini – Negara Independen Papua Nugini,Inggris: Papua New Guinea – Independent State of Papua New Guinea Tok Pisin: Papua Niugini – Independen Stet bilong Papua Niugini,
149,Paraguay – Republik Paraguay,Spanyol: Paraguay – República del Paraguay Guarani: Paraguái – Tetã Paraguái,
150,Prancis – Republik Prancis,Prancis: France – République française,"Prancis memiliki delapan teritori seberang laut, diantaranya:  Polinesia Prancis Prancis: Polynésie française Tahiti: Pōrīnetia Farāni  Kaledonia Baru Prancis: Nouvelle-Calédonie  Saint-Barthélemy – Teritori Jajahan Saint-Barthélemy Prancis: Saint-Barthélemy – Collectivité territoriale de Saint-Barthélemy  Saint Martin – Jajahan Saint Martin Prancis: Saint-Martin – Collectivité de Saint-Martin  Saint Pierre dan Miquelon – Teritori Jajahan Saint Pierre dan Miquelon Prancis: Saint-Pierre-et-Miquelon – Collectivité territoriale de Saint-Barthélemy  Wallis dan Futuna – Teritori Kepulauan Wallis dan Futuna Prancis: Wallis et Futuna – Territoire des îles Wallis et Futuna ʻUvea dan Futuna: Uvea mo Futuna – Telituale o Uvea mo Futuna Tidak berpenghuni:  Daratan Selatan dan Antartika Prancis Pulau Clipperton"
151,Peru – Republik Peru,Spanyol: Perú – República del Perú Aymara: Piruw – Piruw Republika Quechua: Piruw – Piruw Suyu,
152,Polandia – Republik Polandia,Polski: Polska – Rzeczpospolita Polska,
153,Portugal – Republik Portugal,Portugis: Portugal – República Portuguesa,
154,Q,Q,Q
155,Qatar – Negara Qatar,Arab: دولة قطر – قطر → Qaţar – Dawlat Qaţar,
156,R,R,R
157,Rumania,Rumania: România,
158,Rusia – Federasi Rusia,Rusia: Россия – Российская Федерация → Rossiya – Rossiyskaya Federatsiya,
159,Rwanda – Republik Rwanda,Kinya: Rwanda – Repubulika y'u Rwanda Prancis: Rwanda – République du Rwanda Inggris: Rwanda – Republic of Rwanda,
160,S,S,S
161,Saint Kitts dan Nevis – Federasi Saint Christopher dan Nevis,Inggris: Saint Kitts and Nevis – Federation of Saint Christopher and Nevis,
162,Saint Lucia,Inggris: Saint Lucia,
163,Saint Vincent dan Grenadine,Inggris: Saint Vincent and the Grenadines,
164,Samoa – Negara Independen Samoa,Samoa: Sāmoa – Malo Sa‘oloto Tuto'atasi o Sāmoa Inggris: Samoa – Independent State of Samoa,
165,San Marino – Republik San Marino,Italia: San Marino – Repubblica di San Marino,
166,Sao Tome dan Principe – Republik Demokratis Sao Tome dan Principe,Portugis: São Tomé e Príncipe – República Democrática de São Tomé e Príncipe,
167,Selandia Baru,Inggris: New Zealand Māori: Aotearoa,"Selandia Baru memiliki dua wilayah dependensi dan dua negara dalam asosiasi bebas yang memiliki pemerintahan sendiri, yaitu: Dalam asosiasi bebas  Kepulauan Cook Inggris: Cook Islands Māori Kep. Cook: Kūki 'Āirani  Niue Inggris: Niue Niue: Niuē Wilayah dependensi  Tokelau Inggris dan Tokelau: Tokelau Tidak memiliki penghuni tetap: Dependensi Ross"
168,Senegal – Republik Senegal,Prancis: Sénégal – République du Sénégal,
169,Serbia – Republik Serbia[18],Serbia: Србија – Република Србија → Srbija – Republika Srbija,
170,Seychelles – Republik Seychelles,Inggris: Seychelles – Republic of Seychelles Prancis: Seychelles – République des Seychelles Kreol Seychelles: Sesel – Repiblik Sesel,
171,Sierra Leone – Republik Sierra Leone,Inggris: Sierra Leone – Republic of Sierra Leone,
