,I n d o n e s i a,M a l a g a s i,I P A,I P A . 1
25,Tolong!,Vonjeo!,vunˈdzew,vunˈdzew
26,Dapatkah Anda membantu saya?,Afaka manampy ahy ve ianao azafady?,afaka manapʲ a ve enaw azafadʲ,afaka manapʲ a ve enaw azafadʲ
27,Di mana toilet?,Aiza ny efitrano fivoahana? (Aiza ny W.C.?),ajza njefitʂanʷ fiˈvwaːnə̥,ajza njefitʂanʷ fiˈvwaːnə̥
28,Bisakah Anda berbahasa Indonesia?,Miteny fiteny indoneziana ve ianao?,miˈtenʲ ãŋˈɡliʂ ve eˈnaw,miˈtenʲ ãŋˈɡliʂ ve eˈnaw
29,Saya tak bisa berbahasa Malagasi.,Tsy mahay teny malagasy aho.,tsʲ maaj tenʲ malaˈɡasʲ a,tsʲ maaj tenʲ malaˈɡasʲ a
30,Saya tak bisa berbahasa Prancis.,Tsy mahay teny frantsay aho.,tsʲ maaj tenʲ frantsaj a,tsʲ maaj tenʲ frantsaj a
31,Saya haus.,Mangetaheta aho.,maŋɡetaˈeta,maŋɡetaˈeta
32,Saya lapar.,Noana aho.,noːna,noːna
33,Saya lelah.,Vizaka aho. or Reraka aho.,ˈvizaka rerakau,ˈvizaka rerakau
34,Saya harus buang air kecil.,Poritra aho.,purtʂa,purtʂa
35,Saya ingin pergi ke Antsirabe.,Tiako handeha any Antsirabe.,tiku ande anjantsirabe,tiku ande anjantsirabe
36,Itu mahal!,Lafo be izany!,lafʷˈbe zanʲ,lafʷˈbe zanʲ
37,Saya lapar akan nasi.,Noana vary aho.,noːna varja,noːna varja
38,Apa yang bisa saya lakukan untuk Anda?,Inona no azoko atao ho anao?,inːa ɲazʷkwataʷ wanaw,inːa ɲazʷkwataʷ wanaw
39,Saya suka...,Tiako...,tikʷ,tikʷ
40,Aku cinta kamu.,Tiako ianao.,tikwenaʷ,tikwenaʷ
41,Bahasa Indonesia,Malagasy,IPA,Dayak Maanyan
42,satu,isa/iray,isə̥,isa
43,dua,roa,ru,rueh
44,tiga,telo,telʷ,telu
45,empat,efatra,ˈefatʂə̥,epat
46,lima,dimy,ˈdimʲ,dime
47,enam,enina,enː,enem
48,tujuh,fito,fitʷ,fitu
49,delapan,valo,valʷ,walu
50,sembilan,sivy,sivʲ,suey
51,sepuluh,folo,fulʷ,sapuluh
52,sebelas,iraika ambin'ny folo,rajkʲambefulʷ,sawalas
53,dua belas,roa ambin'ny folo,rumbefulʷ,ruehwalas
54,dua puluh,roapolo,ropulʷ,ruampulu
55,tiga puluh,telopolo,telopulʷ,telumpulu
56,empat puluh,efapolo,efapulʷ,epatpulu
57,lima puluh,dimampolo,dimapulʷ,dimempulu
58,enam puluh,enim-polo,empulʷ,enempulu
59,tujuh puluh,fitopolo,fitupulʷ,pitumpulu
60,delapan puluh,valopolo,valupulʷ,walumpulu
61,sembilan puluh,sivifolo,sivfulʷ,sueypulu
62,seratus,zato,zatʷ,jatuh
63,dua ratus,roan-jato,rondzatʷ,ruehjatuh
64,seribu,arivo,arivʷ,saribu
65,sepuluh ribu,iray alina,rajal,
66,seratus ribu,iray hetsy,rajetsʲ,
67,satu juta,iray tapitrisa,rajtaptʂisə̥,
68,satu miliar,iray lavitrisa,rajlavtʂisə̥,
69,3568942,roa amby efapolo sy sivin-jato sy valo arivo sy enina alina sy dimy hetsy sy telo tapitrisa,rumbefapulʷ sʲsivdzatʷ sʲvalorivʷ sʲenːal sʲdimjetsʲ sʲtelutapitʂisə̥,
